# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\altera\13.1\vhdl_quartus\v_2_basic_combinational_logic_circuits\v_2_2_5_simulating_2bit_full_adder\full_adder_2bit.csv
# Generated on: Wed Jun 26 00:43:59 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
a[1],Input,PIN_W20,5B,B5B_N0,PIN_AE12,,,,,,,,,,,,,
a[0],Input,PIN_W21,5B,B5B_N0,PIN_AH6,,,,,,,,,,,,,
a_out[1],Output,PIN_V15,5A,B5A_N0,PIN_AG5,,,,,,,,,,,,,
a_out[0],Output,PIN_V16,5A,B5A_N0,PIN_W12,,,,,,,,,,,,,
b[1],Input,PIN_W24,5B,B5B_N0,PIN_AH4,,,,,,,,,,,,,
b[0],Input,PIN_Y24,5B,B5B_N0,PIN_AG6,,,,,,,,,,,,,
b_out[1],Output,PIN_AA24,5A,B5A_N0,PIN_T13,,,,,,,,,,,,,
b_out[0],Output,PIN_W15,5A,B5A_N0,PIN_AF10,,,,,,,,,,,,,
s[2],Output,PIN_AA23,5A,B5A_N0,PIN_AH2,,,,,,,,,,,,,
s[1],Output,PIN_Y16,5A,B5A_N0,PIN_AH3,,,,,,,,,,,,,
s[0],Output,PIN_AE26,5A,B5A_N0,PIN_T12,,,,,,,,,,,,,
